Species,Treatment,Plot,LTE,Col,Day,Month,Year,Collection,Sequence,Location,Date,deacc.days,LTEOutliers,YearOutliers
LALA,9,10,-21.73,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-21.76,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-21.78,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-21.69,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-21.79,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-22.01,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-22.46,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-23.42,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,17,-15.72,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,17,-16.17,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,17,-16.67,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,17,-16.52,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,17,-16.84,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,17,-17.09,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,17,-17.32,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,17,-18.20,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,17,-18.23,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,17,-18.66,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,17,-23.97,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-23.43,210927SPRAA,27,9,21,SPRAA,AA,SPR,9/27/21,2,0,1
LALA,-2.25,21,-23.94,210927SPRAA,27,9,21,SPRAA,AA,SPR,9/27/21,2,0,1
LALA,-2.25,21,-24.09,210927SPRAA,27,9,21,SPRAA,AA,SPR,9/27/21,2,0,1
LALA,-2.25,21,-24.54,210927SPRAA,27,9,21,SPRAA,AA,SPR,9/27/21,2,0,1
LALA,-2.25,21,-24.77,210927SPRAA,27,9,21,SPRAA,AA,SPR,9/27/21,2,0,1
LALA,-2.25,21,-24.92,210927SPRAA,27,9,21,SPRAA,AA,SPR,9/27/21,2,0,1
LALA,-2.25,21,-25.00,210927SPRAA,27,9,21,SPRAA,AA,SPR,9/27/21,2,0,1
LALA,-2.25,21,-25.48,210927SPRAA,27,9,21,SPRAA,AA,SPR,9/27/21,2,0,1
LALA,-2.25,21,-22.58,210927SPRAA,27,9,21,SPRAA,AA,SPR,9/27/21,2,0,1
LALA,-2.25,21,-22.50,210927SPRAA,27,9,21,SPRAA,AA,SPR,9/27/21,2,0,1
LALA,-2.25,21,-23.16,210927SPRAA,27,9,21,SPRAA,AA,SPR,9/27/21,2,0,1
LALA,-2.25,21,-25.25,210927SPRAA,27,9,21,SPRAA,AA,SPR,9/27/21,2,0,1
LALA,-2.25,21,-25.58,210929SPRAA,29,9,21,SPRAA,AA,SPR,9/29/21,4,0,1
LALA,-2.25,21,-18.09,210929SPRAA,29,9,21,SPRAA,AA,SPR,9/29/21,4,0,1
LALA,-2.25,21,-18.16,210929SPRAA,29,9,21,SPRAA,AA,SPR,9/29/21,4,0,1
LALA,-2.25,21,-20.21,210929SPRAA,29,9,21,SPRAA,AA,SPR,9/29/21,4,0,1
LALA,-2.25,21,-20.28,210929SPRAA,29,9,21,SPRAA,AA,SPR,9/29/21,4,0,1
LALA,-2.25,21,-20.40,210929SPRAA,29,9,21,SPRAA,AA,SPR,9/29/21,4,0,1
LALA,-2.25,21,-24.50,210929SPRAA,29,9,21,SPRAA,AA,SPR,9/29/21,4,0,1
LALA,-2.25,21,-24.55,210929SPRAA,29,9,21,SPRAA,AA,SPR,9/29/21,4,0,1
LALA,-2.25,21,-24.63,211005SPRAA,5,10,21,SPRAA,AA,SPR,10/5/21,10,0,1
